idPerusahaan	idPerusahaan	namaperusahaan	creator	modifier	tgl_creator	tgl_modifier
1	SUPERADMIN	SUPERADMIN				
2	KDL	PT. Krakatau Daya Listrik				
3	KE	PT. Krakatau Enginering				
4	KHI	PT. KHI Pipe & Coating				
5	KIEC	PT. Krakatau Industrial Estate				
6	KIT	PT. Krakatau Information Technology				
7	KM	PT. Krakatau Medika Hospital				
8	KNR	PT. Krakatau Nasional Resources				
9	KS	PT. Krakatau Steel Tbk.				
11	KTI	PT. Krakatau Tirta Industri				
12	KW	PT. Krakatau Wajatama				
13	MJIS	PT. Meratus Jaya Iron Steel				
14	KBS	PT. Krakatau Bandar Samudra				
