kodesubdirektorat;kodedirektorat;namasubdirektorat;idPerusahaan;creator;modifier;tgl_creator;tgl_modifier
10;1;DIREKTUR UTAMA;KS;;;;
12;1;CORPORATE SECRETARY;KS;;;;
13;1;sub dir kbs;KBS;;;;
13;1;HEAD OF INTERNAL AUDIT;KS;;;;
2;1;-;KIT;;;;
20;2;DIREKTUR  LOGISTIK;KS;;;;
22;2;GENERAL MANAGER  LOGISTIC PLANNING;KS;;;;
23;2;GENERAL MANAGER PROCUREMENT;KS;;;;
3;2;-;KIT;;;;
30;3;DIREKTUR  PRODUKSI;KS;;;;
32;3;GENERAL MANAGER QUALITY ASSURANCE;KS;;;;
33;3;GENERAL MANAGER IRON & STEEL MAKING;KS;;;;
34;3;GENERAL MANAGER ROLLING MILL;KS;;;;
35;3;GENERAL MANAGER CENTRAL MAINTENANCE & FACILITIES;KS;;;;
36;3;GENERAL MANAGER PRODUCTION PLANNING & SUPPLY CHAIN MANAGEMENT ;KS;;;;
4;3;-;KIT;;;;
40;4;DIREKTUR PEMASARAN;KS;;;;
42;4;GENERAL MANAGER SALES I;KS;;;;
44;4;GENERAL MANAGER MARKETING;KS;;;;
45;4;GENERAL MANAGER SALES II;KS;7990;;2013-09-25 06:23:12;
50;5;DIREKTUR  KEUANGAN;KS;;;;
52;5;GENERAL MANAGER  AKUNTANSI;KS;;;;
53;5;GENERAL MANAGER CORPORATE FINANCE;KS;;;;
54;5;GENERAL MANAGER SUBSIDIARIES COMPANY;KS;;;;
56;5;GENERAL MANAGER  ACCOUNTING;KS;7990;7990;2013-09-20 04:29:22;2013-09-20 04:46:02
60;6;DIREKTUR SUMBER DAYA MANUSIA & UMUM;KS;;;;
62;6;GENERAL MANAGER HUMAN CAPITAL PLANNING & DEVELOPMENT;KS;;;;
63;6;GENERAL MANAGER HUMAN CAPITAL ADMINISTRASI & GENERAL AFFAIR;KS;;;;
70;7;DIREKTUR TEKNOLOGI & PENGEMBANGAN USAHA;KS;;;;
72;7;GENERAL MANAGER  RESEARCH & TECHNOLOGY;KS;;;;
73;7;GENERAL MANAGER  CORPORATE PLANNING & BUSINESS DEVELOPMENT;KS;;;;
74;7;GENERAL MANAGER BLAST FURNACE PROJECT;KS;;;;
